game_id,game_date,season,team_id,team,opponent_id,opponent,matchup,wl,points,rebounds,assists,fg_pct,fg3_pct,ft_pct
0012400001,2024-10-04,12024,1610612738,Boston Celtics,0,DEN,BOS @ DEN,W,107,44,29,0.378,0.328,0.765
0012400001,2024-10-04,12024,1610612743,Denver Nuggets,0,DEN,BOS @ DEN,L,103,49,29,0.43,0.375,0.654
0012400002,2024-10-04,12024,15020,New Zealand Breakers,0,UTA,NZB @ UTA,L,87,35,23,0.366,0.239,0.615
0012400002,2024-10-04,12024,1610612762,Utah Jazz,0,NZB,UTA vs. NZB,W,116,44,27,0.579,0.4,0.727
0012400003,2024-10-04,12024,1610612747,Los Angeles Lakers,0,MIN,LAL vs. MIN,L,107,38,28,0.481,0.313,0.913
0012400003,2024-10-04,12024,1610612750,Minnesota Timberwolves,0,LAL,MIN @ LAL,W,124,41,24,0.5,0.405,0.577
0012400004,2024-10-05,12024,1610612744,Golden State Warriors,0,LAC,GSW @ LAC,W,91,56,24,0.337,0.229,0.737
0012400004,2024-10-05,12024,1610612746,LA Clippers,0,GSW,LAC vs. GSW,L,90,47,21,0.385,0.229,0.786
0012400005,2024-10-06,12024,1610612738,Boston Celtics,0,BOS,DEN @ BOS,W,130,38,33,0.505,0.383,0.818
0012400005,2024-10-06,12024,1610612743,Denver Nuggets,0,BOS,DEN @ BOS,L,104,42,24,0.425,0.235,0.778
0012400006,2024-10-06,12024,1610612752,New York Knicks,0,CHA,NYK @ CHA,W,111,39,21,0.426,0.356,0.789
0012400006,2024-10-06,12024,1610612766,Charlotte Hornets,0,NYK,CHA vs. NYK,L,109,46,27,0.5,0.447,0.556
0012400007,2024-10-06,12024,1610612761,Toronto Raptors,0,TOR,WAS @ TOR,W,125,51,39,0.548,0.405,0.667
0012400007,2024-10-06,12024,1610612764,Washington Wizards,0,TOR,WAS @ TOR,L,98,32,22,0.421,0.367,0.676
0012400008,2024-10-06,12024,1610612749,Milwaukee Bucks,0,DET,MIL @ DET,L,87,46,20,0.349,0.396,0.889
0012400008,2024-10-06,12024,1610612765,Detroit Pistons,0,MIL,DET vs. MIL,W,120,51,31,0.462,0.324,0.846
0012400009,2024-10-06,12024,1610612747,Los Angeles Lakers,0,PHX,LAL vs. PHX,L,114,49,31,0.468,0.275,0.75
0012400009,2024-10-06,12024,1610612756,Phoenix Suns,0,LAL,PHX @ LAL,W,118,50,33,0.448,0.41,0.842
0012400010,2024-10-07,12024,1610612740,New Orleans Pelicans,0,ORL,NOP vs. ORL,W,106,40,25,0.453,0.3,0.762
